Timestamp,Sensor,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Temp
2026/04/13 14:56:30.00,IMU,-5.86,-964.84,-273.44,-2.82,-2.51,-4.25,11.10,-34.35,-21.90,27.5
2026/04/13 14:56:30.10,IMU,7.81,-1017.58,-279.79,-3.06,-3.68,1.36,10.65,-35.10,-21.15,27.8
2026/04/13 14:56:30.20,IMU,-16.60,-983.89,-271.97,0.02,1.11,-2.57,10.50,-33.45,-21.45,27.6
2026/04/13 14:56:30.30,IMU,-3.91,-1000.49,-296.39,-0.35,-0.63,-1.66,12.00,-33.75,-21.45,27.8
2026/04/13 14:56:30.40,IMU,-12.21,-978.52,-285.64,-1.50,-1.94,-1.50,12.60,-33.60,-20.85,27.6
2026/04/13 14:56:30.50,IMU,-4.88,-974.61,-260.25,-1.58,-0.57,-1.11,11.10,-34.35,-21.60,27.8
2026/04/13 14:56:30.60,IMU,-45.90,-968.26,-328.61,0.53,-8.92,-0.73,11.85,-35.55,-22.35,27.9
2026/04/13 14:56:30.70,IMU,6.84,-989.75,-245.12,3.97,-4.22,-10.03,11.85,-34.35,-20.10,27.9
2026/04/13 14:56:30.80,IMU,-14.65,-969.73,-239.26,-1.69,0.56,-0.36,10.35,-35.10,-20.55,27.8
2026/04/13 14:56:30.90,IMU,-28.81,-962.40,-252.44,-2.98,0.95,-1.11,11.85,-35.85,-19.80,27.7
2026/04/13 14:56:31.00,IMU,24.41,-982.91,-254.39,1.85,-3.37,-2.13,10.80,-34.95,-21.00,27.9
2026/04/13 14:56:31.10,IMU,7.81,-1001.95,-257.81,-1.11,-6.59,-1.03,10.50,-34.20,-21.00,28.0
2026/04/13 14:56:31.20,IMU,-7.32,-962.40,-259.28,-1.60,-0.26,1.31,9.75,-34.50,-21.45,27.8
2026/04/13 14:56:31.30,IMU,-28.32,-985.35,-266.60,-4.36,-4.19,0.02,12.00,-35.70,-21.45,27.8
2026/04/13 14:56:31.40,IMU,24.41,-988.77,-259.77,-2.50,1.06,0.24,9.60,-33.90,-20.85,27.9
2026/04/13 14:56:31.50,IMU,-2.44,-967.77,-265.63,0.31,-6.44,2.75,10.50,-34.50,-21.00,27.9
2026/04/13 14:56:31.61,IMU,-16.11,-977.05,-231.45,-0.85,4.74,2.69,11.40,-35.55,-20.10,27.8
2026/04/13 14:56:31.71,IMU,-3.42,-1026.86,-308.59,2.22,-0.90,5.27,11.40,-34.35,-20.55,27.6
2026/04/13 14:56:31.81,IMU,4.88,-924.80,-52.73,10.47,-0.05,11.40,11.55,-35.40,-18.75,27.8
2026/04/13 14:56:31.91,IMU,-60.55,-906.74,-233.89,-4.53,22.06,14.75,12.75,-35.70,-19.50,28.0
2026/04/13 14:56:32.01,IMU,-53.71,-1018.55,-203.61,-21.02,26.46,25.44,13.35,-35.10,-19.80,28.0
2026/04/13 14:56:32.11,IMU,23.93,-1014.16,-284.18,-15.96,33.25,-3.21,12.45,-33.45,-22.20,28.0
2026/04/13 14:56:32.21,IMU,-133.79,-1021.97,-380.37,-27.07,16.05,17.13,14.25,-33.75,-21.45,28.0
2026/04/13 14:56:32.31,IMU,-146.48,-895.51,-504.39,8.92,-8.39,22.37,14.10,-33.15,-23.40,27.9
2026/04/13 14:56:32.41,IMU,-164.06,-987.79,-385.25,20.52,-132.73,-9.73,17.40,-32.85,-21.60,28.0
2026/04/13 14:56:32.51,IMU,-281.74,-1016.11,-131.35,45.05,-99.16,-105.59,18.45,-36.90,-10.35,27.8
2026/04/13 14:56:32.61,IMU,207.03,-945.31,-289.06,-23.02,-98.93,-150.74,11.55,-39.60,-5.55,27.8
